tags;n;Percentage
HÅN;408;12,511499540018400
SAM;399;12,235510579576816
HAN;245;7,513032812020852
FAU;191;5,857099049371358
SØF;189;5,795768169273229
FLO;183;5,611775528978841
MIL;178;5,458448328733517
HUS;169;5,182459368291934
VER;150;4,599816007359705
GAS;131;4,017172646427476
KRO;131;4,017172646427476
FØL;123;3,771849126034959
BES;120;3,679852805887764
BEK;111;3,403863845446182
JUR;102;3,127874885004600
REL;84;2,575896964121435
KOG;68;2,085249923336400
KVA;63;1,931922723091076
BEV;42;1,287948482060718
RUM;39;1,195952161913524
MUS;34;1,042624961668200
SPR;33;1,011959521619135
SLÆ;32;0,981294081570071
TID;27;0,827966881324747
SAN;9;0,275988960441582
